en_Tienda;edad;articulo;monto;region;;;;;;;;;;;
fisica;60;8;2103.8;limon;;;;;;;;;;;
virtual;58;4;968.38;limon;;;;;;;;;;;
fisica;51;7;143.59;cartago;;;;;;Cuenta de monto;Etiquetas de columna;;;;
virtual;40;7;863.82;limon;;;;;;Etiquetas de fila;limon;cartago;san jose;puntarenas;Total general
fisica;41;4;915.21;san jose;;;;;;fisica;397;1288;210;806;2701
fisica;79;6;426.17;cartago;;;;;;18-35;159;168;78;297;702
fisica;79;1;471.43;cartago;;;;;;36-63;238;636;109;509;1492
fisica;31;3;115.52;cartago;;;;;;64 a mas;;484;23;;507
fisica;29;6;129.25;puntarenas;;;;;;virtual;648;;792;858;2298
virtual;25;6;1025.9;san jose;;;;;;18-35;138;;250;416;804
fisica;57;2;1384.7;limon;;;;;;36-63;382;;440;442;1264
fisica;55;6;352.82;cartago;;;;;;64 a mas;128;;102;;230
fisica;58;1;450.41;cartago;;;;;;Total general;1045;1288;1002;1664;4999
fisica;73;5;416.93;cartago;;;;;;;;;;;
fisica;60;3;638.38;limon;;;;;;;;;;;
virtual;35;4;1740.1;puntarenas;;;;;;;;;;;
virtual;32;4;1308.3;san jose;;;;;;;;;;;
virtual;50;4;749.37;limon;;;;;;;;;;;
virtual;25;4;1854.8;puntarenas;;;;;;;;;;;
virtual;48;8;707.09;san jose;;;;;;;;;;;
virtual;35;1;965.75;puntarenas;;;;;;;;;;;
fisica;56;5;15.86;cartago;;;;;;;;;;;
fisica;50;8;152.97;cartago;;;;;;;;;;;
fisica;71;6;74.1;cartago;;;;;;;;;;;
virtual;59;1;344.11;limon;;;;;;;;;;;
virtual;72;1;919.24;san jose;;;;;;;;;;;
fisica;62;5;381.25;cartago;;;;;;;;;;;
virtual;37;1;361.42;puntarenas;;;;;;;;;;;
fisica;25;2;569.47;puntarenas;;;;;;;;;;;
virtual;47;4;480.06;limon;;;;;;;;;;;
virtual;74;7;896.37;san jose;;;;;;;;;;;
fisica;20;8;114.6;limon;;;;;;;;;;;
fisica;37;7;234.27;cartago;;;;;;;;;;;
virtual;38;2;734.63;san jose;;;;;;;;;;;
fisica;51;2;1213.5;puntarenas;;;;;;;;;;;
